,DHB,Age group,Population
0,Auckland,0 to 9,49000
1,Auckland,10 to 19,55650
2,Auckland,20 to 29,82230
3,Auckland,30 to 39,83490
4,Auckland,40 to 49,62260
5,Auckland,50 to 59,60140
6,Auckland,60 to 69,45420
7,Auckland,70 to 79,27650
8,Auckland,80 to 89,12690
9,Auckland,90+,3020
19,Bay of Plenty,90+,2360
18,Bay of Plenty,80 to 89,11850
17,Bay of Plenty,70 to 79,25860
16,Bay of Plenty,60 to 69,33310
15,Bay of Plenty,50 to 59,34190
12,Bay of Plenty,20 to 29,30030
13,Bay of Plenty,30 to 39,35850
11,Bay of Plenty,10 to 19,34350
10,Bay of Plenty,0 to 9,34840
14,Bay of Plenty,40 to 49,32050
26,Canterbury/West Coast,60 to 69,70140
29,Canterbury/West Coast,90+,4670
28,Canterbury/West Coast,80 to 89,20970
27,Canterbury/West Coast,70 to 79,46900
25,Canterbury/West Coast,50 to 59,81990
21,Canterbury/West Coast,10 to 19,75630
23,Canterbury/West Coast,30 to 39,91340
22,Canterbury/West Coast,20 to 29,84550
20,Canterbury/West Coast,0 to 9,70820
24,Canterbury/West Coast,40 to 49,77240
39,Capital & Coast/Hutt,90+,2890
38,Capital & Coast/Hutt,80 to 89,13940
37,Capital & Coast/Hutt,70 to 79,30400
36,Capital & Coast/Hutt,60 to 69,47400
35,Capital & Coast/Hutt,50 to 59,61980
34,Capital & Coast/Hutt,40 to 49,63040
32,Capital & Coast/Hutt,20 to 29,77620
31,Capital & Coast/Hutt,10 to 19,60960
30,Capital & Coast/Hutt,0 to 9,53150
33,Capital & Coast/Hutt,30 to 39,71110
47,Counties Manukau,70 to 79,32040
49,Counties Manukau,90+,2490
48,Counties Manukau,80 to 89,13360
45,Counties Manukau,50 to 59,72470
46,Counties Manukau,60 to 69,53790
43,Counties Manukau,30 to 39,93000
44,Counties Manukau,40 to 49,75100
42,Counties Manukau,20 to 29,85440
41,Counties Manukau,10 to 19,88010
40,Counties Manukau,0 to 9,89410
59,Hawke's Bay,90+,1470
58,Hawke's Bay,80 to 89,6920
57,Hawke's Bay,70 to 79,16130
56,Hawke's Bay,60 to 69,21850
55,Hawke's Bay,50 to 59,23790
54,Hawke's Bay,40 to 49,21680
53,Hawke's Bay,30 to 39,22870
52,Hawke's Bay,20 to 29,20550
51,Hawke's Bay,10 to 19,24060
50,Hawke's Bay,0 to 9,23320
68,Lakes,80 to 89,3950
67,Lakes,70 to 79,9440
66,Lakes,60 to 69,13780
65,Lakes,50 to 59,15230
69,Lakes,90+,720
63,Lakes,30 to 39,15340
62,Lakes,20 to 29,13610
61,Lakes,10 to 19,16050
60,Lakes,0 to 9,15850
