,name,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04
0,auckland,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,2,4,2,5,3,3,23,10,9,16,29,17,19,29,14,10,30,10,8,22,18,12,5,14,10,9,14,14,6,9,4,10,14,12,4,3,5,9,7,13,3,5,5,11,9,7,2,4,2,0,0,2,3,6,1,4,5,3,4,6,7,6,1,3,7,3,9,12,12,8,7,9,6,9,8,6,13,20,4,16,7,18,8,14,8,4,16,9,17,21,26,4,11,16,15,8,12,4,6,6,20,11,15,11,8,6,5,7,5,8,8,3,17,6,10,6,6,6,7,10,7,7,6,12,10,7,7,4,13,23,21,14,19,11,12,26,21,24,22,20,15,11,23,21,23,29,29,15,11,27,30,19,28,22,17,11,34,18,21,11,5,11,9,17,10,10,13,7,7,8,14,11,13,8,7,9,8,13,6,14,13,6,8,2,4,6,5,6,5,3,7,9,5,11,5,5,1,2,3,5,6,2,6,1,2,7,1,10,7,2,4,5,8,9,6,5,4,2,4,0,5,9,2,1,2,3,17,9,6,7,12,5,6,7,20,10,8,8,4,3,15,12,5,9,15,1,5,8,14,11,9,5,3,4,7,6,6,14,9
1,bay_of_plenty,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,2,0,2,2,3,3,3,8,5,3,4,5,7,9,18,8,10,5,6,9,12,12,7,7,12,7,19,11,13,20,8,0,10,10,16,16,13,8,16,12,13,7,5,16,6,5,4,11,13,5,4,11,8,6,9,17,6,11,6,5,3,10,7,8,12,6,4,7,9,6,8,9,1,8,11,13,3,8,4,3,8,4,10,6,12,7,1,3,4,7,6,3,6,2,5,4,7,11,6,2,3,1,6,10,7,5,5,8,4,8,7,14,9,9,4,2,12,7,14,7,10,13,16,29,31,18,22,17,16,11,37,27,23,28,28,15,9,38,37,31,16,22,10,8,28,22,29,22,11,6,10,19,14,12,13,19,3,13,11,15,11,10,7,5,3,19,10,12,8,6,6,4,9,13,8,2,8,3,3,8,5,2,7,4,2,1,2,5,0,4,3,3,1,5,8,2,6,2,2,3,2,1,3,0,1,0,1,2,2,3,4,9,2,1,3,4,4,1,4,1,1,3,4,4,3,1,2,1,3,5,5,7,4,1,4,7,6,7,9,4,4,1,1,8,11,8,4,4,4,2,4,7,4,5
2,canterbury_west_coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,4,2,8,4,1,6,5,3,11,13,7,10,14,12,8,15,18,10,15,21,34,23,7,16,14,8,15,22,16,21,14,10,9,22,20,21,29,7,8,4,12,21,24,22,5,18,16,9,29,23,25,21,18,17,20,44,40,33,26,18,29,39,37,28,36,26,21,23,38,34,37,26,32,16,23,23,27,34,24,22,9,11,28,32,19,28,21,12,10,24,24,31,23,40,15,12,17,28,26,27,23,16,7,17,21,17,15,19,13,16,34,28,25,19,19,18,17,37,44,24,29,35,23,30,56,37,51,68,45,28,35,64,43,59,57,47,30,37,53,48,59,55,45,30,48,35,29,32,36,34,19,14,28,35,27,19,22,24,12,23,20,28,13,11,6,12,17,18,11,9,9,5,11,11,16,10,9,10,2,12,12,11,7,10,8,5,4,14,11,8,4,7,6,2,7,7,7,0,2,1,4,7,6,6,5,6,3,7,8,10,9,6,7,5,3,3,7,4,3,6,9,6,13,9,11,12,7,4,2,17,11,17,9,9,9,10,4,23,13,12,13,7,7,12,11,12,16,6
3,capital_and_coast_hutt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,2,7,3,6,8,8,6,8,11,12,15,14,14,8,20,22,19,9,11,6,5,18,22,17,23,9,8,14,15,12,17,19,20,11,4,4,11,20,11,9,10,9,21,17,11,16,9,17,9,4,9,6,13,12,5,7,3,12,7,3,5,1,10,14,17,8,5,6,7,6,5,5,3,14,22,4,6,15,8,14,11,7,4,7,15,12,12,6,8,9,9,13,16,19,13,12,12,7,12,18,15,11,20,21,15,26,21,12,9,22,7,14,18,32,17,10,14,8,8,13,22,16,18,34,21,9,29,24,37,31,33,14,26,20,27,13,28,27,14,18,30,21,28,25,23,18,26,28,29,16,29,12,10,9,18,27,6,10,6,12,5,13,14,11,14,6,5,2,7,5,7,6,6,2,4,8,6,1,2,4,2,4,1,7,2,9,7,3,2,3,4,6,5,2,0,1,6,4,4,1,2,2,2,3,2,3,0,1,0,6,1,5,3,2,1,5,5,2,5,3,5,5,2,7,7,9,13,10,17,7,8,13,12,17,12,11,2,3,7,14,15,13,8,5,4,17,15,11,9,7
4,counties_manukau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,3,2,0,1,0,1,0,11,3,3,2,9,8,26,14,15,21,27,16,30,18,15,15,24,22,19,30,22,12,19,29,21,27,17,14,12,5,13,15,12,13,6,4,7,9,4,10,7,8,3,3,5,7,6,4,4,3,3,2,8,3,7,0,4,2,3,9,5,8,15,5,5,6,5,19,9,2,10,9,5,7,9,7,5,4,3,11,3,11,8,5,7,7,11,10,15,14,11,2,4,13,14,10,12,9,1,4,16,13,12,24,14,4,5,5,8,5,8,7,14,4,6,10,9,11,4,7,6,9,11,8,8,11,12,6,11,18,8,15,18,6,19,11,13,21,18,13,17,17,22,24,19,25,27,18,7,30,28,22,30,21,10,23,20,22,20,9,17,11,13,16,12,15,12,13,8,13,13,18,13,8,10,6,3,8,13,13,12,12,3,3,8,7,10,8,7,0,1,6,5,5,8,4,1,1,5,6,0,1,5,7,6,4,6,1,1,5,1,1,10,5,11,4,3,3,2,5,7,2,2,1,1,1,7,6,4,5,7,2,3,6,7,10,6,2,2,4,11,6,9,6,10,5,5,3,9,12,8,8,7,4,10,8,7,10,5
5,hawkes_bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,4,5,1,3,2,5,1,4,6,10,5,4,4,5,4,5,11,6,11,6,3,2,17,6,5,7,4,3,5,3,4,2,2,1,0,4,3,5,1,2,1,3,2,19,14,5,4,4,1,1,10,3,4,2,1,3,9,9,7,8,6,3,1,6,4,0,4,1,2,5,7,5,3,7,1,4,2,6,9,11,7,2,1,1,12,4,3,4,7,6,1,4,9,4,7,4,8,5,6,7,2,3,3,1,3,12,5,7,14,2,4,2,8,14,17,17,17,8,5,15,14,14,12,16,16,12,23,29,29,19,30,13,12,23,16,13,9,12,19,5,15,19,22,23,6,6,4,7,3,31,6,5,5,2,8,1,7,13,5,2,1,15,1,8,5,1,1,3,9,6,2,3,3,1,1,2,3,0,1,0,0,0,2,5,0,1,0,0,2,1,0,3,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,2,0,0,1,0,2,0,2,0,0,2,0,0,0,2,0,0,1,5,2,3,2,1,2,2,4,12,3,1,1,0,8,4,4,1,2
6,lakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,1,6,2,3,6,2,1,2,4,8,3,10,2,1,4,4,1,3,11,6,9,2,6,1,3,3,2,0,5,3,4,1,1,1,0,3,3,0,0,4,0,2,1,1,2,2,3,0,0,2,1,9,1,0,3,1,3,3,1,1,0,3,1,8,3,5,1,3,9,4,2,5,4,9,3,4,4,4,5,1,2,2,7,2,2,2,5,2,5,0,2,1,1,3,2,5,1,2,1,3,2,1,2,3,0,1,4,7,1,11,3,0,4,4,2,11,2,12,2,0,11,10,6,15,8,8,3,9,16,14,11,6,1,5,5,14,6,11,3,0,3,8,8,5,8,10,6,3,3,12,9,2,7,2,2,2,8,3,4,5,6,3,4,2,2,4,3,0,0,1,2,0,2,2,0,0,1,4,3,3,1,0,0,1,1,1,1,0,1,0,2,1,1,1,0,0,1,0,1,2,2,1,0,0,0,0,1,0,2,1,0,1,1,0,1,1,1,0,3,1,1,2,0,1,0,0,5,0,2,0,0,3,1,4,1,1,2,0,0,4,0,3,2,1
7,managed_isolation_and_quarantine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,3,0,0,1,3,0,0,1,1,1,1,0,0,0,0,3,2,0,2,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,9,1,9,1,4,1,2,2,5,5,3,3,2,0,2,4,8,0,3,2,3,6,6,0,4,2,1,5,0,4,2,6,0,3,3,3,3,1,1,3,0,7,4,2,2,2,2,2,1,0,0,3,2,1,1,2,5,1,2,0,2,0,0,2,0,1,1,1,0,2,0,0,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,mid_central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,1,1,3,2,2,5,3,7,5,2,4,11,6,7,10,3,4,4,15,8,5,5,9,2,7,8,9,12,9,9,6,1,6,10,10,9,4,5,2,4,5,7,5,3,5,8,4,15,3,6,8,3,3,2,5,4,5,3,5,5,9,4,9,5,5,3,4,10,5,7,10,7,5,6,8,5,7,4,7,7,5,7,9,10,4,8,3,7,7,15,12,9,7,5,5,5,14,7,7,16,6,5,4,6,6,3,5,2,1,6,4,3,3,2,1,5,11,4,4,13,13,7,2,14,12,12,10,9,7,4,14,16,14,8,19,9,9,14,15,17,15,14,8,8,22,11,13,16,14,4,6,21,13,5,6,4,3,9,6,6,3,5,14,2,3,5,2,5,8,3,4,3,3,3,4,6,4,9,1,2,4,0,4,1,0,0,3,2,4,9,1,0,1,3,2,3,3,5,2,2,1,7,6,4,4,2,0,2,6,2,2,2,2,1,1,0,1,0,4,1,1,0,3,5,4,3,1,1,7,5,3,0,6,6,2,3,11,6,5,8,2,1,6,8,3,3,6
9,nelson_marlborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,2,1,5,2,3,1,3,2,2,12,2,0,4,0,2,4,3,5,4,0,12,4,4,15,5,3,1,6,3,2,3,1,0,3,3,4,2,3,1,2,1,0,4,4,6,4,1,3,1,3,5,3,3,6,6,8,7,7,4,7,2,3,5,5,4,6,5,2,1,7,5,9,5,4,2,5,10,9,2,5,6,3,2,6,7,5,7,6,1,7,2,2,3,5,5,3,8,5,9,5,4,4,1,4,6,3,1,7,1,4,6,11,9,12,8,7,4,8,12,13,7,9,8,7,10,8,11,8,12,6,7,4,20,9,4,6,7,2,3,15,9,9,4,9,2,2,5,8,6,5,10,5,2,4,4,4,4,3,1,1,1,3,1,4,2,1,2,3,4,2,3,2,0,1,1,1,0,2,1,1,1,2,1,1,4,2,1,0,2,1,3,2,0,0,0,1,2,2,0,2,0,2,1,1,1,4,5,3,2,2,1,2,1,1,0,2,3,1,3,2,6,0,1,6,5,2,6,3,1,6,5,4,6,6,4,3,3,4,6,3,4,4
