,name,COMBINED
0,auckland,"[   530.   2622.    359.   8389.   5171.  10956.   1982.   1638.  10145.
 121232.   6684.   8053.  11730.   7961.  12640.   3446.   9666.   5589.
 111087.   5831.   7840.]"
1,bay_of_plenty,"[  159.   614.  1361.  1490.   709.   497.   268.  1387.  1575. 18795.
  1293.   729.  1572.  1670.  1019.   515.  1431.   850. 17220.   893.
   763.]"
2,hawkes_bay,"[  56.  188.  927.  643.  365.  185.  128.  586.  769. 9172.  603.  281.
 1076.  797.  446.  310.  678.  447. 8404.  373.  312.]"
3,northland,"[  71.  134.  660.  622.  361.  127.  112.  515.  704. 8397.  693.  296.
  872.  952.  320.  302.  706.  435. 7693.  326.  190.]"
4,taranaki,"[  34.  141.  924.  485.  251.  149.   78. 2300.  791. 9431.  457.  229.
 1274.  537.  374.  158.  467.  273. 8641.  288.  221.]"
5,waikato,"[  158.   428.  2319.  2012.  1304.   660.   373.  2604.  2387. 28481.
  1863.  1156.  3346.  2233.  1651.   915.  2120.  1211. 26094.   754.
   985.]"
6,waitemata,"[   530.   2622.    359.   8389.   5171.  10956.   1982.   1638.  10145.
 121232.   6684.   8053.  11730.   7961.  12640.   3446.   9666.   5589.
 111087.   5831.   7840.]"
7,counties_manukau,"[   530.   2622.    359.   8389.   5171.  10956.   1982.   1638.  10145.
 121232.   6684.   8053.  11730.   7961.  12640.   3446.   9666.   5589.
 111087.   5831.   7840.]"
8,lakes,"[  158.   428.  2319.  2012.  1304.   660.   373.  2604.  2387. 28481.
  1863.  1156.  3346.  2233.  1651.   915.  2120.  1211. 26094.   754.
   985.]"
9,tairawhiti,"[  14.   40.  229.  155.  112.   30.   30.  304.  191. 2273.  184.   75.
  126.  164.  102.   73.  179.  115. 2083.   91.   60.]"
10,whanganui,"[   63.   137.  1100.   795.   776.   245.   164.   637.  1041. 12414.
   908.   470.  1167.   995.   496.   975.   882.   602. 11373.   404.
   557.]"
11,mid_central,"[   63.   137.  1100.   795.   776.   245.   164.   637.  1041. 12414.
   908.   470.  1167.   995.   496.   975.   882.   602. 11373.   404.
   557.]"
12,wairarapa,"[  214.   675.   274.  2016.  1762.  3055.   608.  1482.  3433. 40954.
  2170.  3000.  2994.  2933.  5224.  4572.  2461.  1296. 37521.  1733.
  1053.]"
13,capital_and_coast_hutt,"[  214.   675.   274.  2016.  1762.  3055.   608.  1482.  3433. 40954.
  2170.  3000.  2994.  2933.  5224.  4572.  2461.  1296. 37521.  1733.
  1053.]"
14,nelson_marlborough,"[  76.  205.  673.  666.  287.  176.  136.  644.  780. 9305.  554.  313.
 1359.  855.  457.  248.  758.  455. 8525.  377.  288.]"
15,south_canterbury,"[  318.   642.  2712.  3425.  1649.  1359.   587.  2060.  3410. 40678.
  2802.  1713.  4465.  2821.  3189.  1429.  2698.  1791. 37268.  1862.
  1747.]"
16,southern,"[  423.   328.  2004.  1644.  1156.   329.   410.  1861.  1758. 20971.
  1184.   942.  1701.  1735.  1010.   556.  1509.   962. 19213.   961.
   498.]"
17,unknown,"[  2158.   6177.  13806.  22499.  13958.  17798.   4904.  16242.  27139.
 323965.  19513.  17336.  31846.  23788.  26978.  13547.  23650.  14104.
 296827.  13976.  14548.]"
18,managed_isolation_and_quarantine,"[  2158.   6177.  13806.  22499.  13958.  17798.   4904.  16242.  27139.
 323965.  19513.  17336.  31846.  23788.  26978.  13547.  23650.  14104.
 296827.  13976.  14548.]"
19,canterbury_west_coast,"[  360.   664.  2974.  3582.  1705.  1387.   616.  2285.  3566. 42539.
  2921.  1792.  4629.  2956.  3238.  1477.  2793.  1867. 38973.  1945.
  1782.]"
