,name,COMBINED
0,auckland,"[0.24067164 0.4224208  0.00957502 0.36851056 0.36793267 0.61496905
 0.40061538 0.08821877 0.37019605 0.3705977  0.33850675 0.46219802
 0.36582598 0.33086712 0.46756285 0.25172235 0.40632562 0.39299971
 0.37063316 0.41373353 0.5377937 ]"
1,bay_of_plenty,"[0.0676306  0.09618197 0.0833763  0.05974758 0.04697166 0.0263928
 0.04902564 0.07254792 0.05258867 0.05257308 0.06053419 0.03788888
 0.04558638 0.06489663 0.03602065 0.03459516 0.05671832 0.05517536
 0.05257148 0.05830274 0.05016192]"
2,hawkes_bay,"[0.01958955 0.02696994 0.05141047 0.02184032 0.02222702 0.00883512
 0.02030769 0.02253855 0.02271801 0.02269764 0.02495617 0.01193442
 0.02994956 0.02798799 0.01474247 0.01940885 0.02475058 0.02644711
 0.02269909 0.02087382 0.01908634]"
3,northland,"[0.02658582 0.01819659 0.03174486 0.02090047 0.02193929 0.00557119
 0.01702564 0.01810576 0.02030908 0.02029158 0.02959678 0.01280343
 0.02351828 0.03454107 0.0100635  0.01881621 0.02593929 0.02559167
 0.02028991 0.01749082 0.01068008]"
4,taranaki,"[0.00932836 0.01933387 0.05118951 0.01476907 0.01402676 0.00680923
 0.01005128 0.12954985 0.02353334 0.02350173 0.01742807 0.00892185
 0.03619168 0.01699573 0.01206877 0.00814875 0.01579283 0.01404334
 0.02350214 0.01475563 0.0128161 ]"
5,waikato,"[0.06716418 0.06596263 0.1539368  0.08310956 0.08977126 0.03556556
 0.0705641  0.14852969 0.08268169 0.08264411 0.08992472 0.06262673
 0.10151324 0.08869911 0.05948977 0.06422698 0.08596901 0.08090961
 0.0826404  0.0482977  0.06545855]"
6,waitemata,"[0.24067164 0.4224208  0.00957502 0.36851056 0.36793267 0.61496905
 0.40061538 0.08821877 0.37019605 0.3705977  0.33850675 0.46219802
 0.36582598 0.33086712 0.46756285 0.25172235 0.40632562 0.39299971
 0.37063316 0.41373353 0.5377937 ]"
7,counties_manukau,"[0.24067164 0.4224208  0.00957502 0.36851056 0.36793267 0.61496905
 0.40061538 0.08821877 0.37019605 0.3705977  0.33850675 0.46219802
 0.36582598 0.33086712 0.46756285 0.25172235 0.40632562 0.39299971
 0.37063316 0.41373353 0.5377937 ]"
8,lakes,"[0.06716418 0.06596263 0.1539368  0.08310956 0.08977126 0.03556556
 0.0705641  0.14852969 0.08268169 0.08264411 0.08992472 0.06262673
 0.10151324 0.08869911 0.05948977 0.06422698 0.08596901 0.08090961
 0.0826404  0.0482977  0.06545855]"
9,tairawhiti,"[0.         0.00292445 0.         0.         0.0040282  0.00011255
 0.00020513 0.00493226 0.00129711 0.00127909 0.00335155 0.
 0.         0.00122606 0.00196814 0.00185199 0.00356612 0.00278015
 0.00128083 0.00057583 0.00172259]"
10,whanganui,"[0.02285448 0.018684   0.06415261 0.02864304 0.05179111 0.01221159
 0.02769231 0.02572267 0.03279843 0.03276271 0.04068269 0.02288396
 0.03281841 0.03635902 0.01659921 0.06867175 0.03341117 0.03749644
 0.03275933 0.02310516 0.03596775]"
11,mid_central,"[0.02285448 0.018684   0.06415261 0.02864304 0.05179111 0.01221159
 0.02769231 0.02572267 0.03279843 0.03276271 0.04068269 0.02288396
 0.03281841 0.03635902 0.01659921 0.06867175 0.03341117 0.03749644
 0.03275933 0.02310516 0.03596775]"
12,wairarapa,"[0.09328358 0.10609261 0.00331443 0.08328858 0.12271616 0.17034328
 0.11876923 0.07847912 0.12144684 0.12136763 0.10575436 0.16945716
 0.09041614 0.11829366 0.19217201 0.33513594 0.10044577 0.08696892
 0.12135998 0.11876485 0.07014401]"
13,capital_and_coast_hutt,"[0.09328358 0.10609261 0.00331443 0.08328858 0.12271616 0.17034328
 0.11876923 0.07847912 0.12144684 0.12136763 0.10575436 0.16945716
 0.09041614 0.11829366 0.19217201 0.33513594 0.10044577 0.08696892
 0.12135998 0.11876485 0.07014401]"
14,nelson_marlborough,"[0.02238806 0.0261576  0.0158356  0.01593269 0.01258812 0.00675295
 0.016      0.01211213 0.01734425 0.01733291 0.0162937  0.00944325
 0.03489912 0.02473259 0.01333135 0.01126009 0.02411378 0.02159966
 0.01733182 0.0151875  0.01502102]"
15,south_canterbury,"[0.14179104 0.10073111 0.18288282 0.14634801 0.11458783 0.07490152
 0.11446154 0.11456577 0.12059445 0.12051077 0.13834176 0.09489601
 0.13679067 0.11355853 0.11660292 0.10230387 0.11050732 0.12225549
 0.12050271 0.1280501  0.11796321]"
16,southern,"[0.18423507 0.04614135 0.11386904 0.05970283 0.07509711 0.01536297
 0.07220513 0.0880939  0.0535893  0.05355103 0.04877797 0.04588378
 0.04568096 0.06193717 0.03386684 0.0340766  0.0559966  0.05774166
 0.05354735 0.05722306 0.0294908 ]"
17,unknown,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
18,managed_isolation_and_quarantine,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
19,canterbury_west_coast,"[0.15485075 0.10073111 0.1853134  0.14643752 0.11458783 0.07490152
 0.11446154 0.11456577 0.12059445 0.12051077 0.13834176 0.09512774
 0.13798865 0.11355853 0.11660292 0.10230387 0.11050732 0.12225549
 0.12050271 0.1280501  0.11796321]"
