,name,COMBINED
0,auckland,"[ 0.30266069  0.89516481 -0.54690336  0.74465237  0.72617548  1.40846227
  0.84332861 -0.2494413   0.73764003  0.7389469   0.6340207   1.01103749
  0.72412265  0.60592716  1.01953396  0.30311902  0.85167741  0.81693446
  0.73906219  0.88569579  1.24082385]"
1,bay_of_plenty,"[-0.35655917 -0.23351854 -0.26470535 -0.36273546 -0.41288883 -0.43526917
 -0.39782839 -0.30800375 -0.38683968 -0.38683954 -0.36196616 -0.42298974
 -0.42119907 -0.3479324  -0.43532953 -0.44462276 -0.37354185 -0.37853221
 -0.38684242 -0.36327987 -0.38075693]"
2,hawkes_bay,"[-0.53957708 -0.47297029 -0.38693483 -0.49869103 -0.50070553 -0.49026909
 -0.49920644 -0.49489029 -0.49259588 -0.49259667 -0.48944361 -0.5107074
 -0.47712342 -0.48029918 -0.50706491 -0.49692131 -0.48557465 -0.48019355
 -0.49258751 -0.49480424 -0.48409633]"
3,northland,"[-0.51292398 -0.50332333 -0.4621313  -0.50206183 -0.50172666 -0.50049344
 -0.51079251 -0.51145577 -0.50112461 -0.50111395 -0.47281612 -0.50777043
 -0.50012457 -0.45679763 -0.52283918 -0.49896223 -0.48140876 -0.48322068
 -0.50111573 -0.50669202 -0.51205067]"
4,taranaki,"[-0.57866828 -0.49938867 -0.38777973 -0.52405228 -0.52980758 -0.49661524
 -0.53541289 -0.09498575 -0.48970924 -0.48975025 -0.5164171  -0.52088892
 -0.45479878 -0.51972113 -0.51607877 -0.53569878 -0.51696764 -0.52408703
 -0.48974477 -0.51630341 -0.50494752]"
5,waikato,"[-0.35833604 -0.33806789  0.00510072 -0.27894702 -0.26099657 -0.40653523
 -0.32179485 -0.02405753 -0.28029621 -0.28039004 -0.25665871 -0.33938383
 -0.22117931 -0.26256872 -0.35620779 -0.3425768  -0.2710311  -0.28746586
 -0.28040163 -0.39843734 -0.3298892 ]"
6,waitemata,"[ 0.30266069  0.89516481 -0.54690336  0.74465237  0.72617548  1.40846227
  0.84332861 -0.2494413   0.73764003  0.7389469   0.6340207   1.01103749
  0.72412265  0.60592716  1.01953396  0.30311902  0.85167741  0.81693446
  0.73906219  0.88569579  1.24082385]"
7,counties_manukau,"[ 0.30266069  0.89516481 -0.54690336  0.74465237  0.72617548  1.40846227
  0.84332861 -0.2494413   0.73764003  0.7389469   0.6340207   1.01103749
  0.72412265  0.60592716  1.01953396  0.30311902  0.85167741  0.81693446
  0.73906219  0.88569579  1.24082385]"
8,lakes,"[-0.35833604 -0.33806789  0.00510072 -0.27894702 -0.26099657 -0.40653523
 -0.32179485 -0.02405753 -0.28029621 -0.28039004 -0.25665871 -0.33938383
 -0.22117931 -0.26256872 -0.35620779 -0.3425768  -0.2710311  -0.28746586
 -0.28040163 -0.39843734 -0.3298892 ]"
9,tairawhiti,"[-0.61420574 -0.5561601  -0.58351587 -0.57702198 -0.56529165 -0.51759277
 -0.57017108 -0.56068556 -0.56843594 -0.56841694 -0.56685383 -0.55104187
 -0.5842366  -0.57627646 -0.55013117 -0.55738355 -0.55981684 -0.56394433
 -0.56840588 -0.56613092 -0.54183808]"
